sno,type,title,chapters,status,genres,popularity,score,authors,publish_time
587,manhwa,The Girl's Winter,1,Finished,Drama,17262,7.09,"Shin-jeong-min, Ahn (Story & Art)",2007
588,manhwa,Murim RPG Simulation,NULL,Publishing,"Action,Adventure,Fantasy",6860,7.09,"Cho, Hyung Geun (Story), Gwanghwi (Art)","Oct  6, 2021 to "
589,manhwa,Her Bucket List,58,Finished,"Drama,Romance",21334,7.09,"Hwangyang (Story), Sop (Art)","Sep  20, 2019 to Sep  19, 2020"
590,manhwa,The Legendary Spearman Returns,NULL,Publishing,"Action,Fantasy",3894,7.09,"Jo-seonsaengnim (Story), Studio Inus (Art)","Oct  2, 2021 to "
591,manhwa,"Frozen Wolf, Fire Dragon",NULL,Publishing,"Fantasy,Romance",20421,7.09,"Chae, Yuhwa (Story), Gyeoulhae (Art)","Jan  19, 2023 to "
592,manhwa,Legend of Tyr,66,Finished,"Action,Adventure,Comedy,Fantasy",5367,7.09,"Na, In-Soo (Story), Son, Chang-ho (Art)",2008 to  2010
593,manhwa,Song of the Doll,15,Finished,"Drama,Fantasy,Mystery,Romance",7725,7.09,"Lee, Sun-Young (Story & Art)",2010 to  2012
594,manhwa,Heart to Give,NULL,Finished,"Drama,Fantasy,Romance",17898,7.09,Wann (Story & Art),2013 to  2015
595,manhwa,Kung Fu Komang,NULL,Finished,"Action,Adventure,Comedy",31961,7.09,"Park, In Seo (Story), Choi, Sang (Art)",1995 to  2006
596,manhwa,Doridosim,79,Finished,Romance,16186,7.09,"Lee, Gpiee (Story & Art)","Oct  23, 2016 to Mar  4, 2018"
597,manhwa,Back to School,45,Finished,Love,10417,7.09,Oryu (Story & Art),"Feb  14, 2019 to Jan  9, 2020"
598,manhwa,1 Plus 1,52,Finished,Romance,14361,7.09,Soru (Story & Art),"May  4, 2019 to Apr  11, 2020"
599,manhwa,She's Hopeless,103,Finished,Romance,7408,7.08,"Kang, Seok Woo (Story & Art)","Nov  11, 2020 to Mar  22, 2023"
